type,value,article_count,sources
cves,CVE-2026-94127,2,https://www.cisa.gov/news-events/alerts/2026/09/22/cisa-adds-four-known-exploited-vulnerabilities-catalog | https://www.rapid7.com/blog/post/etr-cve-2026-94127-critical-unauthenticated-rce-in-f5-big-ip-apm
cves,CVE-2026-93952,1,https://www.cisa.gov/news-events/alerts/2026/09/22/cisa-adds-four-known-exploited-vulnerabilities-catalog
cves,CVE-2026-93616,1,https://www.cisa.gov/news-events/alerts/2026/09/22/cisa-adds-four-known-exploited-vulnerabilities-catalog
cves,CVE-2026-93291,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-267-02
cves,CVE-2026-93290,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-267-02
cves,CVE-2026-93289,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-267-02
cves,CVE-2026-91018,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-265-02
cves,CVE-2026-89207,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-265-08
cves,CVE-2026-88956,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-267-01
cves,CVE-2026-88761,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-267-01
cves,CVE-2026-88259,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-258-08
cves,CVE-2026-88020,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-265-09
cves,CVE-2026-87886,1,https://www.cisa.gov/news-events/alerts/2026/09/16/cisa-adds-two-known-exploited-vulnerabilities-catalog
cves,CVE-2026-87719,1,https://www.rapid7.com/blog/post/etr-cve-2026-85706-critical-gitlab-path-traversal-exploited-in-the-wild
cves,CVE-2026-87121,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-265-01
cves,CVE-2026-87118,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-267-01
cves,CVE-2026-86924,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86917,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86911,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86910,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86909,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86905,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86904,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86903,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86902,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86901,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86900,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86898,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86897,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86895,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86894,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86893,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86892,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86891,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86890,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86889,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86888,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86887,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86886,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86885,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86884,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86883,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86882,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86881,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86879,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86878,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86876,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86870,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86869,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-86689,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-260-01
cves,CVE-2026-86520,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-260-01
cves,CVE-2026-85706,1,https://www.rapid7.com/blog/post/etr-cve-2026-85706-critical-gitlab-path-traversal-exploited-in-the-wild
cves,CVE-2026-85497,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-258-08
cves,CVE-2026-85496,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-267-01
cves,CVE-2026-85478,1,https://www.cisa.gov/news-events/ics-advisories/icsa-26-258-08
cves,CVE-2026-85102,1,https://www.cisa.gov/news-events/alerts/2026/09/22/cisa-adds-four-known-exploited-vulnerabilities-catalog
cves,CVE-2026-84869,1,https://www.cisa.gov/news-events/alerts/2026/09/11/cisa-adds-three-known-exploited-vulnerabilities-catalog
cves,CVE-2026-84636,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84635,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84632,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84631,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84629,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84628,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84626,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84625,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84624,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84623,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84622,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84621,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84620,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84619,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84618,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84617,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84616,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84615,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84612,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84611,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84609,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84607,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84606,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84603,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84602,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84601,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84600,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84598,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84597,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84596,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84593,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84589,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84588,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84587,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84586,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84585,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84584,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84583,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84581,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84580,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84578,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84577,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84576,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84575,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84574,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84573,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84572,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84571,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84570,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84569,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84568,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84567,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84566,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84565,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84564,1,https://isc.sans.edu/diary/rss/33336
cves,CVE-2026-84563,1,https://isc.sans.edu/diary/rss/33336
