type,value,article_count,sources
cves,CVE-2025-3104,1,https://example.invalid/news/clop-moveit
cves,CVE-2024-21762,1,https://example.invalid/news/volt-typhoon-fortios
ips,45.61.136.215,1,https://example.invalid/news/akira-cisco-asa
ips,91.219.236.50,1,https://example.invalid/news/clop-moveit
ips,185.225.74.10,1,https://example.invalid/news/volt-typhoon-fortios
ips,193.143.1.205,1,https://example.invalid/news/akira-cisco-asa
domains,anonfiles.com,1,https://example.invalid/news/clop-moveit
domains,login-portal-update.com,1,https://example.invalid/news/volt-typhoon-fortios
domains,mega.nz,2,https://example.invalid/news/akira-cisco-asa | https://example.invalid/news/scattered-spider-insurance
domains,transfer.sh,1,https://example.invalid/news/clop-moveit
sha256,3b8e7d9c2f1a0b6d4e5f9a8b7c6d5e4f3a2b1c0d9e8f7a6b5c4d3e2f1a0b9c8d,1,https://example.invalid/news/volt-typhoon-fortios
sha256,9c2f1a0b6d4e5f9a8b7c6d5e4f3a2b1c0d9e8f7a6b5c4d3e2f1a0b9c8d7e6f5a,1,https://example.invalid/news/bumblebee-socgholish
